species	n_genomes	n_clusters	cluster_frac	strain_specific	build_s	profile_s	precision	recall	bray_curtis
Cutibacterium_acnes	64	16	0.25	26460	11.07	1.16	1.0	0.812	0.241
Staphylococcus_aureus	60	17	0.28	25834	5.28	0.91	1.0	0.857	0.235
Staphylococcus_epidermidis	60	11	0.18	7568	5.76	0.67	1.0	1.0	0.014
