completeness	contamination	n_contigs	n_clusters	precision	recall	bray_curtis
1.0	0.0	1	17	1.000	0.643	0.287
0.95	0.01	20	20	1.000	0.750	0.208
0.9	0.02	50	20	1.000	0.750	0.205
0.8	0.05	100	20	1.000	0.375	0.601
0.7	0.08	200	20	1.000	0.188	0.705
0.5	0.1	400	20	0.000	0.000	1.000
