# ENA mirror of SRA BioProject PRJNA1131785 (npj Biofilms Microbiomes 2025, s41522-025-00851-2).
# 2bRAD-M / WMS / next-gen-16S / PacBio for MSA-1002 mock (+90/99% human) and HoC saliva/oral-cancer/ECC.
# Download via fastq_ftp (ENA, reachable when NCBI/SRA blocked). Total ~1.78 TB; grab subsets.
run_accession	sample_accession	library_strategy	library_source	instrument_platform	scientific_name	sample_title	read_count	fastq_bytes	fastq_ftp
SRR29721780	SAMN42334579	RNA-Seq	METAGENOMIC	PACBIO_SMRT	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	6322	3437197	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/080/SRR29721780/SRR29721780_subreads.fastq.gz
SRR29721868	SAMN42334582	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	41247	4791975;4135179	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/068/SRR29721868/SRR29721868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/068/SRR29721868/SRR29721868_2.fastq.gz
SRR29721871	SAMN42334585	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	84238	9928081;8537393	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/071/SRR29721871/SRR29721871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/071/SRR29721871/SRR29721871_2.fastq.gz
SRR29721873	SAMN42334587	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	87619	10501975;9051146	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/073/SRR29721873/SRR29721873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/073/SRR29721873/SRR29721873_2.fastq.gz
SRR29721874	SAMN42334554	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	59294	7339982;6511986	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/074/SRR29721874/SRR29721874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/074/SRR29721874/SRR29721874_2.fastq.gz
SRR29721875	SAMN42334555	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	71538	8943963;7817959	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/075/SRR29721875/SRR29721875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/075/SRR29721875/SRR29721875_2.fastq.gz
SRR29721876	SAMN42334556	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	57862	7011725;6322896	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/076/SRR29721876/SRR29721876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/076/SRR29721876/SRR29721876_2.fastq.gz
SRR29721882	SAMN42334588	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	45785	5333609;4954120	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/082/SRR29721882/SRR29721882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/082/SRR29721882/SRR29721882_2.fastq.gz
SRR29721885	SAMN42334564	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	29511	3455424;3131824	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/085/SRR29721885/SRR29721885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/085/SRR29721885/SRR29721885_2.fastq.gz
SRR29721894	SAMN42334572	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	74708	9735481;8202723	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/094/SRR29721894/SRR29721894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/094/SRR29721894/SRR29721894_2.fastq.gz
SRR29721895	SAMN42334573	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	46084	5894567;5016880	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/095/SRR29721895/SRR29721895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/095/SRR29721895/SRR29721895_2.fastq.gz
SRR29721896	SAMN42334574	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	75878	9782950;8139003	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/096/SRR29721896/SRR29721896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/096/SRR29721896/SRR29721896_2.fastq.gz
SRR29721897	SAMN42334575	RNA-Seq	METAGENOMIC	ILLUMINA	human saliva metagenome	Metagenome or environmental sample from human saliva metagenome	58584	7431892;6305158	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/097/SRR29721897/SRR29721897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/097/SRR29721897/SRR29721897_2.fastq.gz
