kind	mock	sample	tool	variant	TP	FP	FN	precision	recall	f1	aupr	bray_curtis	l2
WMS	MSA1005	WMS_MSA1005_0_100ng_1	Strain2bScan	164	6	1	0	0.8571	1.0	0.9231	0.9881	0.3173	0.3428
WMS	MSA1005	WMS_MSA1005_0_100ng_1	StrainScan	-	6	0	0	1.0	1.0	1.0	1.0	0.2159	0.2174
WMS	MSA1005	WMS_MSA1005_0_100ng_1	inStrain	derep164	5	4	1	0.5556	0.8333	0.6667	0.7963	0.2057	0.2062
WMS	MSA1005	WMS_MSA1005_0_100ng_2	Strain2bScan	164	6	1	0	0.8571	1.0	0.9231	0.9881	0.3166	0.3409
WMS	MSA1005	WMS_MSA1005_0_100ng_2	StrainScan	-	6	0	0	1.0	1.0	1.0	1.0	0.2161	0.2165
WMS	MSA1005	WMS_MSA1005_0_100ng_2	inStrain	derep164	5	1	1	0.8333	0.8333	0.8333	0.8194	0.2051	0.2063
WMS	MSA1005	WMS_MSA1005_0_100ng_3	Strain2bScan	164	6	1	0	0.8571	1.0	0.9231	0.9881	0.3159	0.3407
WMS	MSA1005	WMS_MSA1005_0_100ng_3	StrainScan	-	6	0	0	1.0	1.0	1.0	1.0	0.2153	0.216
WMS	MSA1005	WMS_MSA1005_0_100ng_3	inStrain	derep164	5	2	1	0.7143	0.8333	0.7692	0.8095	0.2047	0.2058
WMS	MSA1007	WMS_MSA1007_0_100ng_1	Strain2bScan	164	6	0	0	1.0	1.0	1.0	1.0	0.1411	0.1383
WMS	MSA1007	WMS_MSA1007_0_100ng_1	StrainScan	-	6	0	0	1.0	1.0	1.0	1.0	0.0922	0.1082
WMS	MSA1007	WMS_MSA1007_0_100ng_1	inStrain	derep164	6	3	0	0.6667	1.0	0.8	0.9722	0.11	0.1142
WMS	MSA1007	WMS_MSA1007_0_100ng_2	Strain2bScan	164	6	0	0	1.0	1.0	1.0	1.0	0.1533	0.1489
WMS	MSA1007	WMS_MSA1007_0_100ng_2	StrainScan	-	6	0	0	1.0	1.0	1.0	1.0	0.1105	0.1172
WMS	MSA1007	WMS_MSA1007_0_100ng_2	inStrain	derep164	6	4	0	0.6	1.0	0.75	0.9667	0.1245	0.1213
WMS	MSA1007	WMS_MSA1007_0_100ng_3	Strain2bScan	164	6	0	0	1.0	1.0	1.0	1.0	0.1533	0.1483
WMS	MSA1007	WMS_MSA1007_0_100ng_3	StrainScan	-	6	0	0	1.0	1.0	1.0	1.0	0.1096	0.1175
WMS	MSA1007	WMS_MSA1007_0_100ng_3	inStrain	derep164	6	4	0	0.6	1.0	0.75	0.9667	0.1256	0.1225
