#species	accession
Streptococcus_mutans	GCF_900475095.1
Streptococcus_pneumoniae	GCF_001457635.1
Streptococcus_pneumoniae	GCF_026625945.1
Streptococcus_pneumoniae	GCF_026625965.1
Streptococcus_pneumoniae	GCF_030127445.1
Streptococcus_pyogenes	GCF_002055535.1
Streptococcus_pyogenes	GCF_004028355.1
Streptococcus_pyogenes	GCF_022869605.1
Streptococcus_pyogenes	GCF_900475035.1
Vibrio_cholerae	GCF_000969265.1
Vibrio_cholerae	GCF_003574155.1
Vibrio_cholerae	GCF_008369605.1
Vibrio_cholerae	GCF_055389885.1
Yersinia_enterocolitica	GCF_000253175.1
Yersinia_enterocolitica	GCF_050859035.1
Yersinia_enterocolitica	GCF_900637005.1
Yersinia_enterocolitica	GCF_901472495.1
