#species	accession
Acinetobacter baumannii	GCF_009035845.1
Acinetobacter baumannii	GCF_014672755.1
Acinetobacter baumannii	GCF_020911985.1
Acinetobacter baumannii	GCF_022870045.1
Actinomyces odontolyticus	GCF_009730335.1
Actinomyces odontolyticus	GCF_031191545.1
Actinomyces odontolyticus	GCF_055396835.1
Actinomyces odontolyticus	GCF_055397185.1
Akkermansia muciniphila	GCF_000020225.1
Akkermansia muciniphila	GCF_008000975.1
Akkermansia muciniphila	GCF_009731575.1
Akkermansia muciniphila	GCF_017504145.1
Bacillus subtilis	GCF_000009045.1
Bacillus subtilis	GCF_002055965.1
Bacillus subtilis	GCF_029537415.2
Bacillus subtilis	GCF_037914925.1
Bacteroides fragilis	GCF_000025985.1
Bacteroides fragilis	GCF_005706655.1
Bacteroides fragilis	GCF_020097275.1
Bacteroides fragilis	GCF_040687795.1
Bacteroides thetaiotaomicron	GCF_000011065.1
Bacteroides thetaiotaomicron	GCF_014131755.1
Bacteroides thetaiotaomicron	GCF_019857385.1
Bacteroides thetaiotaomicron	GCF_022453665.1
Bifidobacterium breve	GCF_001025175.1
Bifidobacterium breve	GCF_002838485.1
Bifidobacterium breve	GCF_029011725.1
Bifidobacterium breve	GCF_900637145.1
Bifidobacterium longum	GCF_000196555.1
Bifidobacterium longum	GCF_017132775.1
Bifidobacterium longum	GCF_900637215.1
Bifidobacterium longum	GCF_900637335.1
Bordetella pertussis	GCF_000306945.1
Bordetella pertussis	GCF_001831455.1
Bordetella pertussis	GCF_004008975.1
Bordetella pertussis	GCF_020736265.1
Campylobacter jejuni	GCF_000009085.1
Campylobacter jejuni	GCF_001457695.1
Campylobacter jejuni	GCF_003999645.1
Campylobacter jejuni	GCF_045689445.1
Capnocytophaga sputigena	GCF_002302395.1
Capnocytophaga sputigena	GCF_002302495.1
Capnocytophaga sputigena	GCF_002302595.1
Capnocytophaga sputigena	GCF_900638125.1
Citrobacter freundii	GCF_011064845.1
Citrobacter freundii	GCF_036509015.1
Citrobacter freundii	GCF_036509175.1
Citrobacter freundii	GCF_904859905.1
