sample	mock	class	species	genome	abundance
WMS_MSA1003_0_100ng_3	MSA1003	other_mock_atcc	Micrococcus_luteus	Micrococcus_luteus__ATCC_Micrococcus_luteus_ATCC_4698	5.5e-05
WMS_MSA1003_0_100ng_3	MSA1003	same_species_decoy	Streptococcus_mutans	Streptococcus_mutans__GCF_014621675.1	3.6e-05
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Streptococcus_mutans	Streptococcus_mutans__ATCC_Streptococcus_mutans_ATCC_700610	0.000211
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Lactobacillus_gasseri	Lactobacillus_gasseri__ATCC_Lactobacillus_gasseri_ATCC_33323	0.000185
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Porphyromonas_gingivalis	Porphyromonas_gingivalis__ATCC_Porphyromonas_gingivalis_ATCC_33277	0.000185
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Escherichia_coli	Escherichia_coli__ATCC_Escherichia_coli_ATCC_700926	0.00017
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Streptococcus_agalactiae	Streptococcus_agalactiae__ATCC_Streptococcus_agalactiae_ATCC_BAA_611	0.000141
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Cereibacter_sphaeroides	Cereibacter_sphaeroides__ATCC_Cereibacter_sphaeroides_ATCC_17029	0.000133
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Gardnerella_vaginalis	Gardnerella_vaginalis__ATCC_Gardnerella_vaginalis_ATCC_14019	0.000126
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Prevotella_bivia	Prevotella_bivia__ATCC_Prevotella_bivia_ATCC_29303	0.000122
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Metamycoplasma_hominis	Metamycoplasma_hominis__ATCC_Metamycoplasma_hominis_ATCC_23114	9.8e-05
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Lactobacillus_jensenii	Lactobacillus_jensenii__ATCC_Lactobacillus_jensenii_ATCC_25258	7.5e-05
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Staphylococcus_aureus	Staphylococcus_aureus__ATCC_Staphylococcus_aureus_ATCC_BAA_1556	6.2e-05
WMS_MSA1005_0_100ng_1	MSA1005	same_species_decoy	Cutibacterium_acnes	Cutibacterium_acnes__GCF_001469655.1	4.4e-05
WMS_MSA1005_0_100ng_1	MSA1005	other_mock_atcc	Bacillus_pacificus	Bacillus_pacificus__ATCC_Bacillus_pacificus_ATCC_10987	2.7e-05
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Lactobacillus_gasseri	Lactobacillus_gasseri__ATCC_Lactobacillus_gasseri_ATCC_33323	0.000168
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Lactobacillus_jensenii	Lactobacillus_jensenii__ATCC_Lactobacillus_jensenii_ATCC_25258	0.000162
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Streptococcus_mutans	Streptococcus_mutans__ATCC_Streptococcus_mutans_ATCC_700610	0.000149
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Porphyromonas_gingivalis	Porphyromonas_gingivalis__ATCC_Porphyromonas_gingivalis_ATCC_33277	0.00013
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Escherichia_coli	Escherichia_coli__ATCC_Escherichia_coli_ATCC_700926	0.000127
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Streptococcus_agalactiae	Streptococcus_agalactiae__ATCC_Streptococcus_agalactiae_ATCC_BAA_611	0.000115
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Cereibacter_sphaeroides	Cereibacter_sphaeroides__ATCC_Cereibacter_sphaeroides_ATCC_17029	0.000104
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Prevotella_bivia	Prevotella_bivia__ATCC_Prevotella_bivia_ATCC_29303	8.9e-05
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Gardnerella_vaginalis	Gardnerella_vaginalis__ATCC_Gardnerella_vaginalis_ATCC_14019	7.8e-05
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Metamycoplasma_hominis	Metamycoplasma_hominis__ATCC_Metamycoplasma_hominis_ATCC_23114	6.9e-05
WMS_MSA1005_0_100ng_2	MSA1005	same_species_decoy	Cutibacterium_acnes	Cutibacterium_acnes__GCF_001469655.1	3.6e-05
WMS_MSA1005_0_100ng_2	MSA1005	other_mock_atcc	Staphylococcus_aureus	Staphylococcus_aureus__ATCC_Staphylococcus_aureus_ATCC_BAA_1556	3e-05
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Lactobacillus_gasseri	Lactobacillus_gasseri__ATCC_Lactobacillus_gasseri_ATCC_33323	0.000202
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Streptococcus_mutans	Streptococcus_mutans__ATCC_Streptococcus_mutans_ATCC_700610	0.00015
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Streptococcus_agalactiae	Streptococcus_agalactiae__ATCC_Streptococcus_agalactiae_ATCC_BAA_611	0.000146
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Porphyromonas_gingivalis	Porphyromonas_gingivalis__ATCC_Porphyromonas_gingivalis_ATCC_33277	0.000141
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Prevotella_bivia	Prevotella_bivia__ATCC_Prevotella_bivia_ATCC_29303	0.000139
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Escherichia_coli	Escherichia_coli__ATCC_Escherichia_coli_ATCC_700926	0.000127
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Gardnerella_vaginalis	Gardnerella_vaginalis__ATCC_Gardnerella_vaginalis_ATCC_14019	0.000127
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Metamycoplasma_hominis	Metamycoplasma_hominis__ATCC_Metamycoplasma_hominis_ATCC_23114	0.000109
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Lactobacillus_jensenii	Lactobacillus_jensenii__ATCC_Lactobacillus_jensenii_ATCC_25258	9.7e-05
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Cereibacter_sphaeroides	Cereibacter_sphaeroides__ATCC_Cereibacter_sphaeroides_ATCC_17029	9.6e-05
WMS_MSA1005_0_100ng_3	MSA1005	other_mock_atcc	Staphylococcus_aureus	Staphylococcus_aureus__ATCC_Staphylococcus_aureus_ATCC_BAA_1556	5e-05
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Staphylococcus_epidermidis	Staphylococcus_epidermidis__ATCC_Staphylococcus_epidermidis_ATCC_12228	0.000647
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Streptococcus_mutans	Streptococcus_mutans__ATCC_Streptococcus_mutans_ATCC_700610	0.000143
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Porphyromonas_gingivalis	Porphyromonas_gingivalis__ATCC_Porphyromonas_gingivalis_ATCC_33277	0.00012
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Escherichia_coli	Escherichia_coli__ATCC_Escherichia_coli_ATCC_700926	0.000118
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Cereibacter_sphaeroides	Cereibacter_sphaeroides__ATCC_Cereibacter_sphaeroides_ATCC_17029	9.7e-05
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Streptococcus_mitis	Streptococcus_mitis__ATCC_Streptococcus_mitis_ATCC_49456	7.5e-05
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Acinetobacter_johnsonii	Acinetobacter_johnsonii__ATCC_Acinetobacter_johnsonii_ATCC_17909	6.7e-05
WMS_MSA1007_0_100ng_1	MSA1007	other_mock_atcc	Cutibacterium_acnes	Cutibacterium_acnes__ATCC_Cutibacterium_acnes_ATCC_11828	6.5e-05
