# P. copri panel-size, BEFORE (strand bug / wrong enzyme lengths) vs AFTER (correct Fast2bRAD-M enzymes).
condition	panel_size	n_clusters	precision	recall
before	40	-	0.194	0.65
before	80	-	0.121	0.4
before	112	-	0.114	0.4
after	40	23	1.0	1.0
after	80	43	1.0	0.95
after	112	51	1.0	1.0
