# Multi-species benchmark: 40 real species x 4 strains = 160 NCBI genomes; 20 mock samples
# (8 species each, >=1x, log-normal). Build: 160 genomes -> 40 DBs in 21 s (16 threads).

# (A) Species-count gradient: profile ONE sample vs N species DBs (digest once, match many).
n_species_dbs	profile_time_s
10	1
20	1
30	1
40	1

# (B) Sample-count gradient: profile N samples vs all 40 species DBs.
n_samples	total_time_s	per_sample_s
10	12	1.20
50	60	1.20
100	123	1.23
200	247	1.24
# Species cost is flat (~1 s regardless of N species); sample throughput is linear.
