frac	sp_precision	sp_recall	strain_recall	strain_recall_ge1x	FP_species	det_not_resolved	resolved_calls
0.00	1.000	1.000	0.963	0.963	0	61	297
0.02	1.000	1.000	0.963	0.963	0	61	297
0.04	1.000	1.000	0.963	0.963	0	61	297
0.06	1.000	1.000	0.963	0.963	0	61	297
0.08	1.000	0.992	0.957	0.957	0	63	295
0.10	1.000	0.963	0.937	0.937	0	70	288
0.15	1.000	0.917	0.905	0.905	0	81	277
0.20	1.000	0.867	0.871	0.871	0	93	265
0.30	1.000	0.725	0.745	0.745	0	127	222
