mode	dataset	sample	n_true	n_pred	TP	FP	FN	precision	recall	F1
cst-depth	single	Akkermansia_muciniphila__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
cst-depth	single	Cutibacterium_acnes__diff_k2_rep1_d5	2	2	1	1	1	0.5	0.5	0.5
cst-depth	single	Escherichia_coli__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
cst-depth	single	Escherichia_coli__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
cst-depth	single	Prevotella_copri__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
cst-depth	single	Staphylococcus_epidermidis__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
default	single	Akkermansia_muciniphila__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
default	single	Cutibacterium_acnes__diff_k2_rep1_d5	2	1	1	0	1	1.0	0.5	0.6666666666666666
default	single	Escherichia_coli__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
default	single	Escherichia_coli__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
default	single	Prevotella_copri__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
default	single	Staphylococcus_epidermidis__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
layers	single	Akkermansia_muciniphila__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
layers	single	Cutibacterium_acnes__diff_k2_rep1_d5	2	2	1	1	1	0.5	0.5	0.5
layers	single	Escherichia_coli__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
layers	single	Escherichia_coli__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
layers	single	Prevotella_copri__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
layers	single	Staphylococcus_epidermidis__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
unique-enet	single	Akkermansia_muciniphila__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
unique-enet	single	Cutibacterium_acnes__diff_k2_rep1_d5	2	1	1	0	1	1.0	0.5	0.6666666666666666
unique-enet	single	Escherichia_coli__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
unique-enet	single	Escherichia_coli__same_k2_rep1_d5	1	1	1	0	0	1.0	1.0	1.0
unique-enet	single	Prevotella_copri__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
unique-enet	single	Staphylococcus_epidermidis__diff_k2_rep1_d5	2	2	2	0	0	1.0	1.0	1.0
cst-depth	multi	depth_high_sample01	15	15	15	0	0	1.0	1.0	1.0
cst-depth	multi	depth_low_sample01	15	10	10	0	5	1.0	0.6666666666666666	0.8
cst-depth	multi	depth_med_sample01	15	15	15	0	0	1.0	1.0	1.0
default	multi	depth_high_sample01	15	11	11	0	4	1.0	0.7333333333333333	0.846153846153846
default	multi	depth_low_sample01	15	8	8	0	7	1.0	0.5333333333333333	0.6956521739130436
default	multi	depth_med_sample01	15	13	13	0	2	1.0	0.8666666666666667	0.9285714285714286
layers	multi	depth_high_sample01	15	15	15	0	0	1.0	1.0	1.0
layers	multi	depth_low_sample01	15	10	10	0	5	1.0	0.6666666666666666	0.8
layers	multi	depth_med_sample01	15	15	15	0	0	1.0	1.0	1.0
unique-enet	multi	depth_high_sample01	15	11	11	0	4	1.0	0.7333333333333333	0.846153846153846
unique-enet	multi	depth_low_sample01	15	8	8	0	7	1.0	0.5333333333333333	0.6956521739130436
unique-enet	multi	depth_med_sample01	15	13	13	0	2	1.0	0.8666666666666667	0.9285714285714286
