species	n_genomes	n_clusters	cluster_frac	strain_specific	build_s	profile_s	precision	recall	bray_curtis
Cutibacterium_acnes	64	60	0.94	18566	3.08	0.48	0.9	0.562	0.252
Staphylococcus_aureus	60	28	0.47	20258	2.17	0.42	0.52	0.867	0.592
Staphylococcus_epidermidis	60	12	0.2	5856	2.1	0.29	0.588	0.909	0.365
