# Strain2bScan vs StrainScan, per-sample profiling on 5 real C. acnes mock samples
# (identical input reads; each tool at its default settings). 16-core arm64 macOS.
# Re-verified 2026-06-30 with strain2bscan v0.1.0 (parallelized; default = all cores).
sample	s2bscan_time_s	s2bscan_maxRSS_MB	strainscan_time_s	strainscan_maxRSS_MB
sample1	0.49	118	8.14	828
sample2	0.49	123	6.83	828
sample3	0.49	119	6.79	828
sample4	0.50	124	6.76	828
sample5	0.51	115	6.77	828
mean	0.50	120	7.06	828
# Strain2bScan ~14x faster and ~7x lighter per sample. (sample1 StrainScan time includes
# process cold-start; typical ~6.8 s.) Even single-threaded, Strain2bScan profile is ~3.4 s,
# still faster than StrainScan. Memory gap is structural: jellyfish full-k-mer hash (~800 MB)
# vs streamed sparse 2b markers (~120 MB).
