species	strain_R2_subject	p_value	n_samples_present	n_clusters
Rothia_mucilaginosa	0.9211	0.0002	32	13
Neisseria_subflava	0.8846	0.0002	32	9
Streptococcus_salivarius	0.8499	0.0002	16	9
Gemella_haemolysans	0.7804	0.0002	24	10
Prevotella_melaninogenica	0.7697	0.0002	32	11
Streptococcus_parasanguinis	0.7598	0.0002	18	18
Streptococcus_gordonii	0.7433	0.0002	17	9
Rothia_dentocariosa	0.7292	0.0002	26	11
Veillonella_parvula	0.6744	0.0002	26	12
Actinomyces_odontolyticus	0.6530	0.0002	19	7
Streptococcus_sanguinis	0.6344	0.0002	31	19
Veillonella_atypica	0.6226	0.0002	24	11
Porphyromonas_gingivalis	0.6203	0.0002	26	10
Veillonella_dispar	0.5962	0.0002	31	12
Haemophilus_parainfluenzae	0.5655	0.0002	32	20
Granulicatella_adiacens	0.5258	0.0004	29	10
Streptococcus_oralis	0.4470	0.0092	29	22
Streptococcus_mitis	0.2552	0.2530	30	16
