depth	n	s2b_emu_wall_s	s2b_emu_rss_mb	ss_wall_s	ss_rss_mb	speedup	mem_ratio
0.5	37	0.160	21.1	5.300	830.9	33.1	39.4
1	38	0.240	29.9	3.475	830.8	14.5	27.8
3	38	0.560	60.0	4.165	830.9	7.4	13.8
5	38	0.890	90.8	4.790	830.9	5.4	9.2
10	38	1.655	160.7	6.915	831.8	4.2	5.2
