species_gate	species_precision	species_recall	strain_recall	strain_recall_ge1x	n_samples
10	0.959	0.983	0.977	0.977	30
30	0.967	0.983	0.977	0.977	30
100	0.978	0.983	0.977	0.977	30
200	0.981	0.983	0.977	0.977	30
400	1.000	0.983	0.977	0.977	30
800	1.000	0.983	0.977	0.977	30
