sample,kind,db,enzyme,reads1,reads2,outdir
BcgI_MSA1002_0_0.001ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_0.001ng_1_SE_fq.gz,,brad164
BcgI_MSA1002_0_0.01ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_0.01ng_1_SE_fq.gz,,brad164
BcgI_MSA1002_0_0.1ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_0.1ng_1_SE_fq.gz,,brad164
BcgI_MSA1002_0_1ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_1ng_1_SE_fq.gz,,brad164
BcgI_MSA1002_90_100ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_90_100ng_1_R1_fq.gz,MSA1002/2bRAD/BcgI_MSA1002_90_100ng_1_R2_fq.gz,brad164
BcgI_MSA1002_95_100ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_95_100ng_1_R1_fq.gz,MSA1002/2bRAD/BcgI_MSA1002_95_100ng_1_R2_fq.gz,brad164
BcgI_MSA1002_99_100ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_99_100ng_1_R1_fq.gz,MSA1002/2bRAD/BcgI_MSA1002_99_100ng_1_R2_fq.gz,brad164
BcgI_MSA1002_99.9_100ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_99.9_100ng_1_R1_fq.gz,MSA1002/2bRAD/BcgI_MSA1002_99.9_100ng_1_R2_fq.gz,brad164
BcgI_MSA1003_0_100ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_1_R1_fq.gz,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_1_R2_fq.gz,brad164
BcgI_MSA1003_0_100ng_2,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_2_R1_fq.gz,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_2_R2_fq.gz,brad164
BcgI_MSA1003_0_100ng_3,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_3_R1_fq.gz,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_3_R2_fq.gz,brad164
BcgI_MSA1005_0_100ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1005/2bRAD/BcgI_MSA1005_0_100ng_1_R1_fq.gz,MSA1005/2bRAD/BcgI_MSA1005_0_100ng_1_R2_fq.gz,brad164
BcgI_MSA1005_0_100ng_2,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1005/2bRAD/BcgI_MSA1005_0_100ng_2_R1_fq.gz,MSA1005/2bRAD/BcgI_MSA1005_0_100ng_2_R2_fq.gz,brad164
BcgI_MSA1005_0_100ng_3,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1005/2bRAD/BcgI_MSA1005_0_100ng_3_R1_fq.gz,MSA1005/2bRAD/BcgI_MSA1005_0_100ng_3_R2_fq.gz,brad164
BcgI_MSA1007_0_100ng_1,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1007/2bRAD/BcgI_MSA1007_0_100ng_1_R1_fq.gz,MSA1007/2bRAD/BcgI_MSA1007_0_100ng_1_R2_fq.gz,brad164
BcgI_MSA1007_0_100ng_2,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1007/2bRAD/BcgI_MSA1007_0_100ng_2_R1_fq.gz,MSA1007/2bRAD/BcgI_MSA1007_0_100ng_2_R2_fq.gz,brad164
BcgI_MSA1007_0_100ng_3,2bRAD,MSA_combined164_bcgi_cont.tsv,BcgI,MSA1007/2bRAD/BcgI_MSA1007_0_100ng_3_R1_fq.gz,MSA1007/2bRAD/BcgI_MSA1007_0_100ng_3_R2_fq.gz,brad164
BcgI_MSA1002_0_0.001ng_1,2bRAD,MSA1002_combined_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_0.001ng_1_SE_fq.gz,,brad120
BcgI_MSA1002_0_0.01ng_1,2bRAD,MSA1002_combined_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_0.01ng_1_SE_fq.gz,,brad120
BcgI_MSA1002_0_0.1ng_1,2bRAD,MSA1002_combined_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_0.1ng_1_SE_fq.gz,,brad120
BcgI_MSA1002_0_1ng_1,2bRAD,MSA1002_combined_bcgi_cont.tsv,BcgI,MSA1002/2bRAD/BcgI_MSA1002_0_1ng_1_SE_fq.gz,,brad120
BcgI_MSA1003_0_100ng_1,2bRAD,MSA1002_combined_bcgi_cont.tsv,BcgI,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_1_R1_fq.gz,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_1_R2_fq.gz,brad120
BcgI_MSA1003_0_100ng_2,2bRAD,MSA1002_combined_bcgi_cont.tsv,BcgI,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_2_R1_fq.gz,MSA1003/2bRAD/BcgI_MSA1003_0_100ng_2_R2_fq.gz,brad120
