sample	species	predicted_depth	relative_abundance
depth_low_sample01	Staphylococcus_epidermidis	3.78701	0.242937
depth_low_sample01	Escherichia_coli	1.95146	0.125186
depth_low_sample01	Staphylococcus_aureus	1.92251	0.123329
depth_low_sample01	Fusobacterium_nucleatum	1.56588	0.100451
depth_low_sample01	Cutibacterium_acnes	1.51353	0.0970926
depth_low_sample01	Salmonella_enterica	1.35379	0.0868458
depth_low_sample01	Mycobacterium_tuberculosis	1.22196	0.0783889
depth_low_sample01	Prevotella_copri	1.21632	0.0780266
depth_low_sample01	Clostridioides_difficile	1.05602	0.0677439
depth_med_sample01	Akkermansia_muciniphila	14.6573	0.350638
depth_med_sample01	Streptococcus_pneumoniae	4.57659	0.109483
depth_med_sample01	Salmonella_enterica	4.169	0.0997322
depth_med_sample01	Staphylococcus_epidermidis	3.36826	0.0805768
depth_med_sample01	Prevotella_copri	2.15806	0.0516258
depth_med_sample01	Klebsiella_pneumoniae	2.08896	0.0499729
depth_med_sample01	Lactiplantibacillus_plantarum	1.78004	0.0425826
depth_med_sample01	Cutibacterium_acnes	1.54097	0.0368636
depth_med_sample01	Clostridioides_difficile	1.39525	0.0333776
depth_med_sample01	Staphylococcus_aureus	1.33979	0.0320508
depth_med_sample01	Escherichia_coli	1.24537	0.0297922
depth_med_sample01	Fusobacterium_nucleatum	1.21082	0.0289657
depth_med_sample01	Mycobacterium_tuberculosis	1.19355	0.0285526
depth_med_sample01	Porphyromonas_gingivalis	1.07793	0.0257866
depth_high_sample01	Mycobacterium_tuberculosis	21.8275	0.25863
depth_high_sample01	Klebsiella_pneumoniae	14.2011	0.168266
depth_high_sample01	Lactiplantibacillus_plantarum	10.4331	0.12362
depth_high_sample01	Streptococcus_pneumoniae	6.22961	0.0738135
depth_high_sample01	Staphylococcus_epidermidis	5.8081	0.0688191
depth_high_sample01	Phocaeicola_dorei	5.77955	0.0684809
depth_high_sample01	Salmonella_enterica	5.03833	0.0596983
depth_high_sample01	Porphyromonas_gingivalis	3.06645	0.0363339
depth_high_sample01	Prevotella_copri	2.20205	0.0260917
depth_high_sample01	Staphylococcus_aureus	2.11264	0.0250322
depth_high_sample01	Escherichia_coli	1.80305	0.021364
depth_high_sample01	Akkermansia_muciniphila	1.73001	0.0204986
depth_high_sample01	Fusobacterium_nucleatum	1.58874	0.0188247
depth_high_sample01	Cutibacterium_acnes	1.29205	0.0153093
depth_high_sample01	Clostridioides_difficile	1.2843	0.0152174
