species	sample	strategy	k	rep	depth	n_truth_cl	n_pred_cl	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep2_d3	diff	3	2	3	3	3	3	0	0	1.0000	1.0000	1.0000	0.300	51.1
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep2_d5	diff	3	2	5	3	3	3	0	0	1.0000	1.0000	1.0000	0.540	72.0
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep3_d0.5	diff	3	3	0.5	3	2	2	0	1	1.0000	0.6667	0.8000	0.070	20.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep3_d10	diff	3	3	10	3	3	3	0	0	1.0000	1.0000	1.0000	0.900	123.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep3_d1	diff	3	3	1	3	2	2	0	1	1.0000	0.6667	0.8000	0.130	26.5
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep3_d3	diff	3	3	3	3	3	3	0	0	1.0000	1.0000	1.0000	0.300	50.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep3_d5	diff	3	3	5	3	3	3	0	0	1.0000	1.0000	1.0000	0.480	69.1
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep4_d0.5	diff	3	4	0.5	3	2	2	0	1	1.0000	0.6667	0.8000	0.070	20.6
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep4_d10	diff	3	4	10	3	3	3	0	0	1.0000	1.0000	1.0000	0.880	122.0
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep4_d1	diff	3	4	1	3	3	3	0	0	1.0000	1.0000	1.0000	0.120	27.0
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep4_d3	diff	3	4	3	3	3	3	0	0	1.0000	1.0000	1.0000	0.290	52.5
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep4_d5	diff	3	4	5	3	3	3	0	0	1.0000	1.0000	1.0000	0.470	71.8
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep5_d0.5	diff	3	5	0.5	3	1	1	0	2	1.0000	0.3333	0.5000	0.100	26.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep5_d10	diff	3	5	10	3	2	2	0	1	1.0000	0.6667	0.8000	1.470	187.3
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep5_d1	diff	3	5	1	3	2	2	0	1	1.0000	0.6667	0.8000	0.180	33.5
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep5_d3	diff	3	5	3	3	2	2	0	1	1.0000	0.6667	0.8000	0.460	70.8
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep5_d5	diff	3	5	5	3	2	2	0	1	1.0000	0.6667	0.8000	0.750	108.1
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d0.5	diff	5	1	0.5	5	3	3	0	2	1.0000	0.6000	0.7500	0.110	25.1
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d10	diff	5	1	10	5	4	4	0	1	1.0000	0.8000	0.8889	1.560	211.7
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d1	diff	5	1	1	5	3	3	0	2	1.0000	0.6000	0.7500	0.200	34.6
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d3	diff	5	1	3	5	4	4	0	1	1.0000	0.8000	0.8889	0.510	76.2
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d5	diff	5	1	5	5	4	4	0	1	1.0000	0.8000	0.8889	0.800	114.2
