species	sample	strategy	k	rep	depth	n_truth_cl	n_pred_cl	TP	FP	FN	precision	recall	f1	wall_s	maxrss_mb
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d0.5	diff	2	1	0.5	2	1	1	0	1	1.0000	0.5000	0.6667	0.130	18.7
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d1	diff	2	1	1	2	1	1	0	1	1.0000	0.5000	0.6667	0.170	23.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d3	diff	2	1	3	2	1	1	0	1	1.0000	0.5000	0.6667	0.350	42.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d5	diff	2	1	5	2	2	2	0	0	1.0000	1.0000	1.0000	0.520	57.4
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k2_rep1_d10	diff	2	1	10	2	2	2	0	0	1.0000	1.0000	1.0000	0.930	95.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep1_d0.5	diff	3	1	0.5	3	2	2	0	1	1.0000	0.6667	0.8000	0.150	22.6
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep1_d1	diff	3	1	1	3	2	2	0	1	1.0000	0.6667	0.8000	0.230	30.1
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep1_d3	diff	3	1	3	3	3	3	0	0	1.0000	1.0000	1.0000	0.490	54.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep1_d5	diff	3	1	5	3	3	3	0	0	1.0000	1.0000	1.0000	0.740	81.0
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k3_rep1_d10	diff	3	1	10	3	3	3	0	0	1.0000	1.0000	1.0000	1.400	144.8
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d0.5	diff	5	1	0.5	5	3	3	0	2	1.0000	0.6000	0.7500	0.190	28.6
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d1	diff	5	1	1	5	3	3	0	2	1.0000	0.6000	0.7500	0.310	38.9
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d3	diff	5	1	3	5	4	4	0	1	1.0000	0.8000	0.8889	0.770	84.8
Akkermansia_muciniphila	Akkermansia_muciniphila__diff_k5_rep1_d5	diff	5	1	5	5	4	4	0	1	1.0000	0.8000	0.8889	1.230	123.5
